curso,modulo,id_modulo,recurso,medio,tipo,lugar,criterio,metadatos_completos
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,1,oficio-visor-21c.png?v=3,foto,E1 Contextualización · explorar,Observar el escenario del AE con hotspots ligados a criterio,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,2,oficio-visor-21c.png?v=3,3d,E2 AE1 etapa 1 (hotspot),"Utiliza instrumentos de medición y verificación de distintos parámetros, de acuerdo a las indicaciones establecidas desde fábrica, considerando técnicas apropiadas y normas de seguridad necesarias para el uso del instrumento.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,3,oficio-visor-21c.png?v=3,foto,E2 AE1 etapa 2 (match),"Utiliza instrumentos de medición y verificación de distintos parámetros, de acuerdo a las indicaciones establecidas desde fábrica, considerando técnicas apropiadas y normas de seguridad necesarias para el uso del instrumento.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,4,oficio-visor-21c.png?v=3,foto,E2 AE1 etapa 3 (order),"Utiliza instrumentos de medición y verificación de distintos parámetros, de acuerdo a las indicaciones establecidas desde fábrica, considerando técnicas apropiadas y normas de seguridad necesarias para el uso del instrumento.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,5,oficio-visor-25.png?v=3,foto,E2 AE1 etapa 4 (choice),"Utiliza instrumentos de medición y verificación de distintos parámetros, de acuerdo a las indicaciones establecidas desde fábrica, considerando técnicas apropiadas y normas de seguridad necesarias para el uso del instrumento.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,6,oficio-intervalo.png?v=3,foto,E2 AE1 etapa 5 (choice),"Utiliza instrumentos de medición y verificación de distintos parámetros, de acuerdo a las indicaciones establecidas desde fábrica, considerando técnicas apropiadas y normas de seguridad necesarias para el uso del instrumento.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,7,oficio-intervalo.png?v=3,foto,E2 AE1 etapa 6 (reflect),"Utiliza instrumentos de medición y verificación de distintos parámetros, de acuerdo a las indicaciones establecidas desde fábrica, considerando técnicas apropiadas y normas de seguridad necesarias para el uso del instrumento.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,8,oficio-equipo-ctrl.png?v=3,foto,E2 AE2 etapa 1 (classify),"Verifica parámetros medidos por los instrumentos, comparándolos con datos de manuales de fabricación de los equipos, para determinar posibles ajustes que deben realizarse a equipos dentro del sistema de refrigeración.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,9,oficio-equipo-ctrl.png?v=3,foto,E2 AE2 etapa 2 (choice),"Verifica parámetros medidos por los instrumentos, comparándolos con datos de manuales de fabricación de los equipos, para determinar posibles ajustes que deben realizarse a equipos dentro del sistema de refrigeración.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,10,oficio-equipo-ctrl.png?v=3,foto,E2 AE2 etapa 3 (checklist),"Verifica parámetros medidos por los instrumentos, comparándolos con datos de manuales de fabricación de los equipos, para determinar posibles ajustes que deben realizarse a equipos dentro del sistema de refrigeración.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,11,oficio-equipo-ctrl.png?v=3,foto,E2 AE2 etapa 4 (choice),"Verifica parámetros medidos por los instrumentos, comparándolos con datos de manuales de fabricación de los equipos, para determinar posibles ajustes que deben realizarse a equipos dentro del sistema de refrigeración.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,12,oficio-visor-21c.png?v=3,foto,E2 AE2 etapa 5 (choice),"Verifica parámetros medidos por los instrumentos, comparándolos con datos de manuales de fabricación de los equipos, para determinar posibles ajustes que deben realizarse a equipos dentro del sistema de refrigeración.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,13,oficio-equipo-ctrl.png?v=3,foto,E2 AE2 etapa 6 (reflect),"Verifica parámetros medidos por los instrumentos, comparándolos con datos de manuales de fabricación de los equipos, para determinar posibles ajustes que deben realizarse a equipos dentro del sistema de refrigeración.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,14,oficio-visor-21c.png?v=3,foto,E2 AE3 etapa 1 (choice),"Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,15,oficio-visor-21c.png?v=3,foto,E2 AE3 etapa 2 (choice),"Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,16,oficio-intervalo.png?v=3,foto,E2 AE3 etapa 3 (choice),"Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,17,oficio-visor-21c.png?v=3,foto,E2 AE3 etapa 4 (choice),"Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,18,oficio-visor-21c.png?v=3,foto,E2 AE3 etapa 5 (choice),"Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,19,oficio-visor-21c.png?v=3,foto,E2 AE3 etapa 6 (reflect),"Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,20,oficio-visor-25.png?v=3,foto,E3 Situación 1,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,21,oficio-intervalo.png?v=3,foto,E3 Situación 2,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,22,oficio-visor-21c.png?v=3,foto,E3 Situación 3,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,23,oficio-visor-21c.png?v=3,foto,E3 Situación 4,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,24,oficio-visor-21c.png?v=3,foto,E3 Situación 5,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,25,oficio-visor-21c.png?v=3,foto,E3 Situación 6,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,26,oficio-visor-21c.png?v=3,foto,E3 Situación 7,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,27,oficio-visor-21c.png?v=3,foto,E3 Situación 8,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,28,oficio-visor-21c.png?v=3,foto,E3 Situación 9,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,29,oficio-visor-21c.png?v=3,foto,E3 Situación 10,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,30,oficio-visor-21c.png?v=3,foto,E3 Situación 11,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,31,oficio-visor-21c.png?v=3,foto,E3 Situación 12,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,32,oficio-visor-21c.png?v=3,foto,E3 Situación 13,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,33,oficio-visor-21c.png?v=3,foto,E3 Situación 14,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,34,oficio-visor-21c.png?v=3,foto,E3 Situación 15,Decidir en la situación con evidencia visible,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,35,oficio-visor-21c.png?v=3,3d-procedure,E3 Situación final 3D,"Recorrer el procedimiento (armar, instalar, diagnosticar) en el equipo",1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,36,oficio-visor-25.png?v=3,foto,E4 Ítem 1,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,37,oficio-intervalo.png?v=3,foto,E4 Ítem 2,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,38,oficio-visor-21c.png?v=3,foto,E4 Ítem 3,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,39,oficio-visor-21c.png?v=3,foto,E4 Ítem 4,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,40,oficio-visor-21c.png?v=3,foto,E4 Ítem 5,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,41,oficio-visor-21c.png?v=3,foto,E4 Ítem 6,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,42,oficio-visor-21c.png?v=3,foto,E4 Ítem 7,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,43,oficio-visor-21c.png?v=3,foto,E4 Ítem 8,Imagen real del estímulo; el dato se lee en la figura,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,44,oficio-visor-21c.png?v=3,foto,E4 Ítem 9,Imagen real del estímulo; el dato se lee en la figura,1
